Points:0,Points:1,Points:2
0,0.4,0
0,0,0
0,0.0032,0
0,0.0064,0
0,0.0092,0
0,0.0124,0
0,0.0152,0
0,0.0184,0
0,0.0212,0
0,0.0244,0
0,0.0272,0
0,0.0304,0
0,0.0332,0
0,0.0364,0
0,0.0392,0
0,0.0424,0
0,0.0452,0
0,0.0484,0
0,0.0512,0
0,0.0544,0
0,0.0572,0
0,0.0604,0
0,0.0632,0
0,0.0664,0
0,0.0692,0
0,0.0724,0
0,0.0752,0
0,0.0784,0
0,0.0816,0
0,0.0844,0
0,0.0876,0
0,0.0904,0
0,0.0936,0
0,0.0964,0
0,0.0996,0
0,0.1024,0
0,0.1056,0
0,0.1084,0
0,0.1116,0
0,0.1144,0
0,0.1176,0
0,0.1204,0
0,0.1236,0
0,0.1264,0
0,0.1296,0
0,0.1324,0
0,0.1356,0
0,0.1384,0
0,0.1416,0
0,0.1444,0
0,0.1476,0
0,0.1504,0
0,0.1536,0
0,0.1564,0
0,0.1596,0
0,0.1628,0
0,0.1656,0
0,0.1688,0
0,0.1716,0
0,0.1748,0
0,0.1776,0
0,0.1808,0
0,0.1836,0
0,0.1868,0
0,0.1896,0
0,0.1928,0
0,0.1956,0
0,0.1988,0
0,0.2016,0
0,0.2048,0
0,0.2076,0
0,0.2108,0
0,0.2136,0
0,0.2168,0
0,0.2196,0
0,0.2228,0
0,0.2256,0
0,0.2288,0
0,0.2316,0
0,0.2348,0
0,0.2376,0
0,0.2408,0
0,0.244,0
0,0.2468,0
0,0.25,0
0,0.2528,0
0,0.256,0
0,0.2588,0
0,0.262,0
0,0.2648,0
0,0.268,0
0,0.2708,0
0,0.274,0
0,0.2768,0
0,0.28,0
0,0.2828,0
0,0.286,0
0,0.2888,0
0,0.292,0
0,0.2948,0
0,0.298,0
0,0.3008,0
0,0.304,0
0,0.3068,0
0,0.31,0
0,0.3128,0
0,0.316,0
0,0.3188,0
0,0.322,0
0,0.3252,0
0,0.328,0
0,0.3312,0
0,0.334,0
0,0.3372,0
0,0.34,0
0,0.3432,0
0,0.346,0
0,0.3492,0
0,0.352,0
0,0.3552,0
0,0.358,0
0,0.3612,0
0,0.364,0
0,0.3672,0
0,0.37,0
0,0.3732,0
0,0.376,0
0,0.3792,0
0,0.382,0
0,0.3852,0
0,0.388,0
0,0.3912,0
0,0.394,0
0,0.3972,0
0,0.0032,0.001
0,0,0.001
0,0.0064,0.001
0,0.0092,0.001
0,0.0124,0.001
0,0.0152,0.001
0,0.0184,0.001
0,0.0212,0.001
0,0.0244,0.001
0,0.0272,0.001
0,0.0304,0.001
0,0.0332,0.001
0,0.0364,0.001
0,0.0392,0.001
0,0.0424,0.001
0,0.0452,0.001
0,0.0484,0.001
0,0.0512,0.001
0,0.0544,0.001
0,0.0572,0.001
0,0.0604,0.001
0,0.0632,0.001
0,0.0664,0.001
0,0.0692,0.001
0,0.0724,0.001
0,0.0752,0.001
0,0.0784,0.001
0,0.0816,0.001
0,0.0844,0.001
0,0.0876,0.001
0,0.0904,0.001
0,0.0936,0.001
0,0.0964,0.001
0,0.0996,0.001
0,0.1024,0.001
0,0.1056,0.001
0,0.1084,0.001
0,0.1116,0.001
0,0.1144,0.001
0,0.1176,0.001
0,0.1204,0.001
0,0.1236,0.001
0,0.1264,0.001
0,0.1296,0.001
0,0.1324,0.001
0,0.1356,0.001
0,0.1384,0.001
0,0.1416,0.001
0,0.1444,0.001
0,0.1476,0.001
0,0.1504,0.001
0,0.1536,0.001
0,0.1564,0.001
0,0.1596,0.001
0,0.1628,0.001
0,0.1656,0.001
0,0.1688,0.001
0,0.1716,0.001
0,0.1748,0.001
0,0.1776,0.001
0,0.1808,0.001
0,0.1836,0.001
0,0.1868,0.001
0,0.1896,0.001
0,0.1928,0.001
0,0.1956,0.001
0,0.1988,0.001
0,0.2016,0.001
0,0.2048,0.001
0,0.2076,0.001
0,0.2108,0.001
0,0.2136,0.001
0,0.2168,0.001
0,0.2196,0.001
0,0.2228,0.001
0,0.2256,0.001
0,0.2288,0.001
0,0.2316,0.001
0,0.2348,0.001
0,0.2376,0.001
0,0.2408,0.001
0,0.244,0.001
0,0.2468,0.001
0,0.25,0.001
0,0.2528,0.001
0,0.256,0.001
0,0.2588,0.001
0,0.262,0.001
0,0.2648,0.001
0,0.268,0.001
0,0.2708,0.001
0,0.274,0.001
0,0.2768,0.001
0,0.28,0.001
0,0.2828,0.001
0,0.286,0.001
0,0.2888,0.001
0,0.292,0.001
0,0.2948,0.001
0,0.298,0.001
0,0.3008,0.001
0,0.304,0.001
0,0.3068,0.001
0,0.31,0.001
0,0.3128,0.001
0,0.316,0.001
0,0.3188,0.001
0,0.322,0.001
0,0.3252,0.001
0,0.328,0.001
0,0.3312,0.001
0,0.334,0.001
0,0.3372,0.001
0,0.34,0.001
0,0.3432,0.001
0,0.346,0.001
0,0.3492,0.001
0,0.352,0.001
0,0.3552,0.001
0,0.358,0.001
0,0.3612,0.001
0,0.364,0.001
0,0.3672,0.001
0,0.37,0.001
0,0.3732,0.001
0,0.376,0.001
0,0.3792,0.001
0,0.382,0.001
0,0.3852,0.001
0,0.388,0.001
0,0.3912,0.001
0,0.394,0.001
0,0.3972,0.001
0,0.4,0.001
