Points:0,Points:1,Points:2
1,0.4,0
1,0,0
1,0.0032,0
1,0.0064,0
1,0.0092,0
1,0.0124,0
1,0.0152,0
1,0.0184,0
1,0.0212,0
1,0.0244,0
1,0.0272,0
1,0.0304,0
1,0.0332,0
1,0.0364,0
1,0.0392,0
1,0.0424,0
1,0.0452,0
1,0.0484,0
1,0.0512,0
1,0.0544,0
1,0.0572,0
1,0.0604,0
1,0.0632,0
1,0.0664,0
1,0.0692,0
1,0.0724,0
1,0.0752,0
1,0.0784,0
1,0.0816,0
1,0.0844,0
1,0.0876,0
1,0.0904,0
1,0.0936,0
1,0.0964,0
1,0.0996,0
1,0.1024,0
1,0.1056,0
1,0.1084,0
1,0.1116,0
1,0.1144,0
1,0.1176,0
1,0.1204,0
1,0.1236,0
1,0.1264,0
1,0.1296,0
1,0.1324,0
1,0.1356,0
1,0.1384,0
1,0.1416,0
1,0.1444,0
1,0.1476,0
1,0.1504,0
1,0.1536,0
1,0.1564,0
1,0.1596,0
1,0.1628,0
1,0.1656,0
1,0.1688,0
1,0.1716,0
1,0.1748,0
1,0.1776,0
1,0.1808,0
1,0.1836,0
1,0.1868,0
1,0.1896,0
1,0.1928,0
1,0.1956,0
1,0.1988,0
1,0.2016,0
1,0.2048,0
1,0.2076,0
1,0.2108,0
1,0.2136,0
1,0.2168,0
1,0.2196,0
1,0.2228,0
1,0.2256,0
1,0.2288,0
1,0.2316,0
1,0.2348,0
1,0.2376,0
1,0.2408,0
1,0.244,0
1,0.2468,0
1,0.25,0
1,0.2528,0
1,0.256,0
1,0.2588,0
1,0.262,0
1,0.2648,0
1,0.268,0
1,0.2708,0
1,0.274,0
1,0.2768,0
1,0.28,0
1,0.2828,0
1,0.286,0
1,0.2888,0
1,0.292,0
1,0.2948,0
1,0.298,0
1,0.3008,0
1,0.304,0
1,0.3068,0
1,0.31,0
1,0.3128,0
1,0.316,0
1,0.3188,0
1,0.322,0
1,0.3252,0
1,0.328,0
1,0.3312,0
1,0.334,0
1,0.3372,0
1,0.34,0
1,0.3432,0
1,0.346,0
1,0.3492,0
1,0.352,0
1,0.3552,0
1,0.358,0
1,0.3612,0
1,0.364,0
1,0.3672,0
1,0.37,0
1,0.3732,0
1,0.376,0
1,0.3792,0
1,0.382,0
1,0.3852,0
1,0.388,0
1,0.3912,0
1,0.394,0
1,0.3972,0
1,0,0.001
1,0.4,0.001
1,0.0032,0.001
1,0.0064,0.001
1,0.0092,0.001
1,0.0124,0.001
1,0.0152,0.001
1,0.0184,0.001
1,0.0212,0.001
1,0.0244,0.001
1,0.0272,0.001
1,0.0304,0.001
1,0.0332,0.001
1,0.0364,0.001
1,0.0392,0.001
1,0.0424,0.001
1,0.0452,0.001
1,0.0484,0.001
1,0.0512,0.001
1,0.0544,0.001
1,0.0572,0.001
1,0.0604,0.001
1,0.0632,0.001
1,0.0664,0.001
1,0.0692,0.001
1,0.0724,0.001
1,0.0752,0.001
1,0.0784,0.001
1,0.0816,0.001
1,0.0844,0.001
1,0.0876,0.001
1,0.0904,0.001
1,0.0936,0.001
1,0.0964,0.001
1,0.0996,0.001
1,0.1024,0.001
1,0.1056,0.001
1,0.1084,0.001
1,0.1116,0.001
1,0.1144,0.001
1,0.1176,0.001
1,0.1204,0.001
1,0.1236,0.001
1,0.1264,0.001
1,0.1296,0.001
1,0.1324,0.001
1,0.1356,0.001
1,0.1384,0.001
1,0.1416,0.001
1,0.1444,0.001
1,0.1476,0.001
1,0.1504,0.001
1,0.1536,0.001
1,0.1564,0.001
1,0.1596,0.001
1,0.1628,0.001
1,0.1656,0.001
1,0.1688,0.001
1,0.1716,0.001
1,0.1748,0.001
1,0.1776,0.001
1,0.1808,0.001
1,0.1836,0.001
1,0.1868,0.001
1,0.1896,0.001
1,0.1928,0.001
1,0.1956,0.001
1,0.1988,0.001
1,0.2016,0.001
1,0.2048,0.001
1,0.2076,0.001
1,0.2108,0.001
1,0.2136,0.001
1,0.2168,0.001
1,0.2196,0.001
1,0.2228,0.001
1,0.2256,0.001
1,0.2288,0.001
1,0.2316,0.001
1,0.2348,0.001
1,0.2376,0.001
1,0.2408,0.001
1,0.244,0.001
1,0.2468,0.001
1,0.25,0.001
1,0.2528,0.001
1,0.256,0.001
1,0.2588,0.001
1,0.262,0.001
1,0.2648,0.001
1,0.268,0.001
1,0.2708,0.001
1,0.274,0.001
1,0.2768,0.001
1,0.28,0.001
1,0.2828,0.001
1,0.286,0.001
1,0.2888,0.001
1,0.292,0.001
1,0.2948,0.001
1,0.298,0.001
1,0.3008,0.001
1,0.304,0.001
1,0.3068,0.001
1,0.31,0.001
1,0.3128,0.001
1,0.316,0.001
1,0.3188,0.001
1,0.322,0.001
1,0.3252,0.001
1,0.328,0.001
1,0.3312,0.001
1,0.334,0.001
1,0.3372,0.001
1,0.34,0.001
1,0.3432,0.001
1,0.346,0.001
1,0.3492,0.001
1,0.352,0.001
1,0.3552,0.001
1,0.358,0.001
1,0.3612,0.001
1,0.364,0.001
1,0.3672,0.001
1,0.37,0.001
1,0.3732,0.001
1,0.376,0.001
1,0.3792,0.001
1,0.382,0.001
1,0.3852,0.001
1,0.388,0.001
1,0.3912,0.001
1,0.394,0.001
1,0.3972,0.001
