Result,Points:0,Points:1,Points:2
5.48687e-05,0.15,0.2,0
0.0219707,1,0.4,0
0.0244449,1,0,0
0.823009,0,0.4,0
0.842857,0,0,0
1,0,0.0032,0
1,0,0.0064,0
1,0,0.0092,0
1,0,0.0124,0
1,0,0.0152,0
1,0,0.0184,0
1,0,0.0212,0
1,0,0.0244,0
1,0,0.0272,0
1,0,0.0304,0
1,0,0.0332,0
1,0,0.0364,0
1,0,0.0392,0
1,0,0.0424,0
1,0,0.0452,0
1,0,0.0484,0
1,0,0.0512,0
1,0,0.0544,0
1,0,0.0572,0
1,0,0.0604,0
1,0,0.0632,0
1,0,0.0664,0
1,0,0.0692,0
1,0,0.0724,0
1,0,0.0752,0
1,0,0.0784,0
1,0,0.0816,0
1,0,0.0844,0
1,0,0.0876,0
1,0,0.0904,0
1,0,0.0936,0
1,0,0.0964,0
1,0,0.0996,0
1,0,0.1024,0
1,0,0.1056,0
1,0,0.1084,0
1,0,0.1116,0
1,0,0.1144,0
1,0,0.1176,0
1,0,0.1204,0
1,0,0.1236,0
1,0,0.1264,0
1,0,0.1296,0
1,0,0.1324,0
1,0,0.1356,0
1,0,0.1384,0
1,0,0.1416,0
1,0,0.1444,0
1,0,0.1476,0
1,0,0.1504,0
1,0,0.1536,0
1,0,0.1564,0
1,0,0.1596,0
1,0,0.1628,0
1,0,0.1656,0
1,0,0.1688,0
1,0,0.1716,0
1,0,0.1748,0
1,0,0.1776,0
1,0,0.1808,0
1,0,0.1836,0
1,0,0.1868,0
1,0,0.1896,0
1,0,0.1928,0
1,0,0.1956,0
1,0,0.1988,0
1,0,0.2016,0
1,0,0.2048,0
1,0,0.2076,0
1,0,0.2108,0
1,0,0.2136,0
1,0,0.2168,0
1,0,0.2196,0
1,0,0.2228,0
1,0,0.2256,0
1,0,0.2288,0
1,0,0.2316,0
1,0,0.2348,0
1,0,0.2376,0
1,0,0.2408,0
1,0,0.244,0
1,0,0.2468,0
1,0,0.25,0
1,0,0.2528,0
1,0,0.256,0
1,0,0.2588,0
1,0,0.262,0
1,0,0.2648,0
1,0,0.268,0
1,0,0.2708,0
1,0,0.274,0
1,0,0.2768,0
1,0,0.28,0
1,0,0.2828,0
1,0,0.286,0
1,0,0.2888,0
1,0,0.292,0
1,0,0.2948,0
1,0,0.298,0
1,0,0.3008,0
1,0,0.304,0
1,0,0.3068,0
1,0,0.31,0
1,0,0.3128,0
1,0,0.316,0
1,0,0.3188,0
1,0,0.322,0
1,0,0.3252,0
1,0,0.328,0
1,0,0.3312,0
1,0,0.334,0
1,0,0.3372,0
1,0,0.34,0
1,0,0.3432,0
1,0,0.346,0
1,0,0.3492,0
1,0,0.352,0
1,0,0.3552,0
1,0,0.358,0
1,0,0.3612,0
1,0,0.364,0
1,0,0.3672,0
1,0,0.37,0
1,0,0.3732,0
1,0,0.376,0
1,0,0.3792,0
1,0,0.382,0
1,0,0.3852,0
1,0,0.388,0
1,0,0.3912,0
1,0,0.394,0
1,0,0.3972,0
0.644732,0.004,0,0
0.518142,0.007,0,0
0.378183,0.01,0,0
0.290644,0.013,0,0
0.235406,0.016,0,0
0.198027,0.019,0,0
0.171649,0.022,0,0
0.15233,0.025,0,0
0.137638,0.028,0,0
0.126094,0.031,0,0
0.116784,0.034,0,0
0.109121,0.037,0,0
0.102711,0.04,0,0
0.0972845,0.043,0,0
0.0926464,0.046,0,0
0.0886521,0.049,0,0
0.0851928,0.052,0,0
0.0821836,0.055,0,0
0.0795578,0.058,0,0
0.0772619,0.061,0,0
0.0752522,0.064,0,0
0.0734932,0.067,0,0
0.0719548,0.07,0,0
0.0706127,0.073,0,0
0.0694458,0.076,0,0
0.0684364,0.079,0,0
0.067569,0.082,0,0
0.0668305,0.085,0,0
0.0662095,0.088,0,0
0.0656957,0.091,0,0
0.0652803,0.094,0,0
0.0649554,0.097,0,0
0.0647134,0.1,0,0
0.0645484,0.103,0,0
0.0644554,0.106,0,0
0.0644275,0.109,0,0
0.0644582,0.112,0,0
0.0645436,0.115,0,0
0.0646801,0.118,0,0
0.064863,0.121,0,0
0.0650883,0.124,0,0
0.0653521,0.127,0,0
0.0656502,0.13,0,0
0.0659784,0.133,0,0
0.0663329,0.136,0,0
0.0667097,0.139,0,0
0.0671048,0.142,0,0
0.0675145,0.145,0,0
0.0679349,0.148,0,0
0.0683621,0.151,0,0
0.0687926,0.154,0,0
0.0692226,0.157,0,0
0.0696485,0.16,0,0
0.0700669,0.163,0,0
0.0704744,0.166,0,0
0.0708678,0.169,0,0
0.0712437,0.172,0,0
0.0715993,0.175,0,0
0.0719317,0.178,0,0
0.0722381,0.181,0,0
0.072516,0.184,0,0
0.0727632,0.187,0,0
0.0729776,0.19,0,0
0.0731574,0.193,0,0
0.0733009,0.196,0,0
0.0734065,0.199,0,0
0.0734728,0.202,0,0
0.0734987,0.205,0,0
0.0734851,0.208,0,0
0.0734309,0.211,0,0
0.0733345,0.214,0,0
0.0731965,0.217,0,0
0.0730169,0.22,0,0
0.0727963,0.223,0,0
0.0725354,0.226,0,0
0.0722352,0.229,0,0
0.0718965,0.232,0,0
0.0715207,0.235,0,0
0.0711092,0.238,0,0
0.0706633,0.241,0,0
0.0701848,0.244,0,0
0.0696753,0.247,0,0
0.0691365,0.25,0,0
0.0685703,0.253,0,0
0.0679787,0.256,0,0
0.0673634,0.259,0,0
0.0667266,0.262,0,0
0.0660702,0.265,0,0
0.065396,0.268,0,0
0.0647063,0.271,0,0
0.0640028,0.274,0,0
0.0632873,0.277,0,0
0.062562,0.28,0,0
0.0618284,0.283,0,0
0.0610884,0.286,0,0
0.0603436,0.289,0,0
0.0595957,0.292,0,0
0.0588463,0.295,0,0
0.0580967,0.298,0,0
0.0573484,0.301,0,0
0.0566026,0.304,0,0
0.0558607,0.307,0,0
0.0551238,0.31,0,0
0.0543929,0.313,0,0
0.0536689,0.316,0,0
0.0529528,0.319,0,0
0.0522455,0.322,0,0
0.0515477,0.325,0,0
0.05086,0.328,0,0
0.0501829,0.331,0,0
0.0495171,0.334,0,0
0.0488629,0.337,0,0
0.0482209,0.34,0,0
0.0475913,0.343,0,0
0.0469743,0.346,0,0
0.0463703,0.349,0,0
0.0457794,0.352,0,0
0.0452017,0.355,0,0
0.0446374,0.358,0,0
0.0440864,0.361,0,0
0.0435488,0.364,0,0
0.0430246,0.367,0,0
0.0425138,0.37,0,0
0.0420161,0.373,0,0
0.0415317,0.376,0,0
0.0410603,0.379,0,0
0.0406018,0.382,0,0
0.0401561,0.385,0,0
0.0397229,0.388,0,0
0.039302,0.391,0,0
0.0388933,0.394,0,0
0.0384966,0.397,0,0
0.0381116,0.4,0,0
0.0377381,0.403,0,0
0.0373758,0.406,0,0
0.0370246,0.409,0,0
0.0366841,0.412,0,0
0.036354,0.415,0,0
0.0360342,0.418,0,0
0.0357244,0.421,0,0
0.0354243,0.424,0,0
0.0351337,0.427,0,0
0.0348522,0.43,0,0
0.0345797,0.433,0,0
0.0343159,0.436,0,0
0.0340605,0.439,0,0
0.0338132,0.442,0,0
0.0335739,0.445,0,0
0.0333424,0.448,0,0
0.0331182,0.451,0,0
0.0329012,0.454,0,0
0.0326912,0.457,0,0
0.0324879,0.46,0,0
0.0322912,0.463,0,0
0.0321007,0.466,0,0
0.0319163,0.469,0,0
0.0317377,0.472,0,0
0.0315649,0.475,0,0
0.0313975,0.478,0,0
0.0312353,0.481,0,0
0.0310783,0.484,0,0
0.0309261,0.487,0,0
0.0307787,0.49,0,0
0.0306357,0.493,0,0
0.0304972,0.496,0,0
0.0303629,0.499,0,0
0.0302325,0.502,0,0
0.0301062,0.505,0,0
0.0299836,0.508,0,0
0.0298645,0.511,0,0
0.029749,0.514,0,0
0.0296367,0.517,0,0
0.0295276,0.52,0,0
0.0294216,0.523,0,0
0.0293186,0.526,0,0
0.0292184,0.529,0,0
0.029121,0.532,0,0
0.0290262,0.535,0,0
0.0289338,0.538,0,0
0.028844,0.541,0,0
0.0287564,0.544,0,0
0.028671,0.547,0,0
0.0285878,0.55,0,0
0.0285067,0.553,0,0
0.0284275,0.556,0,0
0.0283502,0.559,0,0
0.0282747,0.562,0,0
0.028201,0.565,0,0
0.0281289,0.568,0,0
0.0280585,0.571,0,0
0.0279896,0.574,0,0
0.0279223,0.577,0,0
0.0278563,0.58,0,0
0.0277917,0.583,0,0
0.0277285,0.586,0,0
0.0276665,0.589,0,0
0.0276057,0.592,0,0
0.0275462,0.595,0,0
0.0274878,0.598,0,0
0.0274304,0.601,0,0
0.0273741,0.604,0,0
0.0273188,0.607,0,0
0.0272645,0.61,0,0
0.0272112,0.613,0,0
0.0271587,0.616,0,0
0.0271071,0.619,0,0
0.0270564,0.622,0,0
0.0270065,0.625,0,0
0.0269573,0.628,0,0
0.026909,0.631,0,0
0.0268614,0.634,0,0
0.0268146,0.637,0,0
0.0267683,0.64,0,0
0.0267228,0.643,0,0
0.026678,0.646,0,0
0.0266338,0.649,0,0
0.0265901,0.652,0,0
0.0265471,0.655,0,0
0.0265047,0.658,0,0
0.0264628,0.661,0,0
0.0264216,0.664,0,0
0.0263808,0.667,0,0
0.0263405,0.67,0,0
0.0263008,0.673,0,0
0.0262616,0.676,0,0
0.0262229,0.679,0,0
0.0261846,0.682,0,0
0.0261467,0.685,0,0
0.0261094,0.688,0,0
0.0260724,0.691,0,0
0.026036,0.694,0,0
0.026,0.697,0,0
0.0259643,0.7,0,0
0.0259291,0.703,0,0
0.0258944,0.706,0,0
0.0258599,0.709,0,0
0.0258259,0.712,0,0
0.0257923,0.715,0,0
0.025759,0.718,0,0
0.0257262,0.721,0,0
0.0256937,0.724,0,0
0.0256615,0.727,0,0
0.0256297,0.73,0,0
0.0255983,0.733,0,0
0.0255671,0.736,0,0
0.0255364,0.739,0,0
0.025506,0.742,0,0
0.0254759,0.745,0,0
0.0254462,0.748,0,0
0.0254168,0.751,0,0
0.0253876,0.754,0,0
0.0253588,0.757,0,0
0.0253303,0.76,0,0
0.0253021,0.763,0,0
0.0252743,0.766,0,0
0.0252467,0.769,0,0
0.0252194,0.772,0,0
0.0251924,0.775,0,0
0.0251658,0.778,0,0
0.0251394,0.781,0,0
0.0251133,0.784,0,0
0.0250874,0.787,0,0
0.0250619,0.79,0,0
0.0250366,0.793,0,0
0.0250116,0.796,0,0
0.0249869,0.799,0,0
0.0249624,0.802,0,0
0.0249382,0.805,0,0
0.0249143,0.808,0,0
0.0248907,0.811,0,0
0.0248673,0.814,0,0
0.0248441,0.817,0,0
0.0248213,0.82,0,0
0.0247987,0.823,0,0
0.0247763,0.826,0,0
0.0247541,0.829,0,0
0.0247322,0.832,0,0
0.0247106,0.835,0,0
0.0246891,0.838,0,0
0.024668,0.841,0,0
0.024647,0.844,0,0
0.0246263,0.847,0,0
0.0246058,0.85,0,0
0.0245855,0.853,0,0
0.0245655,0.856,0,0
0.0245457,0.859,0,0
0.0245261,0.862,0,0
0.0245068,0.865,0,0
0.0244877,0.868,0,0
0.0244687,0.871,0,0
0.02445,0.874,0,0
0.0244315,0.877,0,0
0.0244132,0.88,0,0
0.0243951,0.883,0,0
0.0243772,0.886,0,0
0.0243595,0.889,0,0
0.024342,0.892,0,0
0.0243246,0.895,0,0
0.0243075,0.898,0,0
0.0242906,0.901,0,0
0.0242737,0.904,0,0
0.0242571,0.907,0,0
0.0242408,0.91,0,0
0.0242245,0.913,0,0
0.0242084,0.916,0,0
0.0241925,0.919,0,0
0.0241766,0.922,0,0
0.0241609,0.925,0,0
0.0241453,0.928,0,0
0.0241298,0.931,0,0
0.0241145,0.934,0,0
0.0240991,0.937,0,0
0.0240837,0.94,0,0
0.0240683,0.943,0,0
0.0240528,0.946,0,0
0.0240369,0.949,0,0
0.0240205,0.952,0,0
0.0240035,0.955,0,0
0.0239857,0.958,0,0
0.0239667,0.961,0,0
0.0239466,0.964,0,0
0.0239252,0.967,0,0
0.0239023,0.97,0,0
0.0238782,0.973,0,0
0.0238536,0.976,0,0
0.0238299,0.979,0,0
0.0238093,0.982,0,0
0.023796,0.985,0,0
0.0237986,0.988,0,0
0.0238267,0.991,0,0
0.0238877,0.994,0,0
0.0241861,0.997,0,0
0.615319,0.004,0.4,0
0.500206,0.007,0.4,0
0.363832,0.01,0.4,0
0.280362,0.013,0.4,0
0.227811,0.016,0.4,0
0.192126,0.019,0.4,0
0.16688,0.022,0.4,0
0.148297,0.025,0.4,0
0.13411,0.028,0.4,0
0.122938,0.031,0.4,0
0.113911,0.034,0.4,0
0.106468,0.037,0.4,0
0.100215,0.04,0.4,0
0.0949215,0.043,0.4,0
0.0904108,0.046,0.4,0
0.0865151,0.049,0.4,0
0.0831328,0.052,0.4,0
0.0801932,0.055,0.4,0
0.0776284,0.058,0.4,0
0.0753857,0.061,0.4,0
0.0734219,0.064,0.4,0
0.0717033,0.067,0.4,0
0.0702004,0.07,0.4,0
0.0688891,0.073,0.4,0
0.0677488,0.076,0.4,0
0.0667621,0.079,0.4,0
0.0659143,0.082,0.4,0
0.0651921,0.085,0.4,0
0.0645845,0.088,0.4,0
0.0640816,0.091,0.4,0
0.0636747,0.094,0.4,0
0.063356,0.097,0.4,0
0.0631182,0.1,0.4,0
0.0629553,0.103,0.4,0
0.0628625,0.106,0.4,0
0.0628333,0.109,0.4,0
0.0628612,0.112,0.4,0
0.0629423,0.115,0.4,0
0.0630731,0.118,0.4,0
0.0632491,0.121,0.4,0
0.0634665,0.124,0.4,0
0.0637214,0.127,0.4,0
0.0640098,0.13,0.4,0
0.0643278,0.133,0.4,0
0.0646716,0.136,0.4,0
0.0650374,0.139,0.4,0
0.0654214,0.142,0.4,0
0.0658199,0.145,0.4,0
0.0662293,0.148,0.4,0
0.0666458,0.151,0.4,0
0.0670659,0.154,0.4,0
0.0674861,0.157,0.4,0
0.0679028,0.16,0.4,0
0.0683126,0.163,0.4,0
0.0687122,0.166,0.4,0
0.0690984,0.169,0.4,0
0.0694679,0.172,0.4,0
0.0698179,0.175,0.4,0
0.0701454,0.178,0.4,0
0.0704476,0.181,0.4,0
0.0707222,0.184,0.4,0
0.0709669,0.187,0.4,0
0.0711795,0.19,0.4,0
0.0713583,0.193,0.4,0
0.0715015,0.196,0.4,0
0.0716079,0.199,0.4,0
0.0716759,0.202,0.4,0
0.0717041,0.205,0.4,0
0.0716934,0.208,0.4,0
0.0716428,0.211,0.4,0
0.0715511,0.214,0.4,0
0.0714182,0.217,0.4,0
0.0712447,0.22,0.4,0
0.0710309,0.223,0.4,0
0.0707775,0.226,0.4,0
0.0704854,0.229,0.4,0
0.0701557,0.232,0.4,0
0.0697896,0.235,0.4,0
0.0693885,0.238,0.4,0
0.0689537,0.241,0.4,0
0.0684868,0.244,0.4,0
0.0679896,0.247,0.4,0
0.0674638,0.25,0.4,0
0.0669111,0.253,0.4,0
0.0663333,0.256,0.4,0
0.0657324,0.259,0.4,0
0.0651104,0.262,0.4,0
0.0644692,0.265,0.4,0
0.0638106,0.268,0.4,0
0.0631366,0.271,0.4,0
0.0624491,0.274,0.4,0
0.0617501,0.277,0.4,0
0.0610413,0.28,0.4,0
0.0603244,0.283,0.4,0
0.0596012,0.286,0.4,0
0.0588735,0.289,0.4,0
0.0581427,0.292,0.4,0
0.0574103,0.295,0.4,0
0.0566778,0.298,0.4,0
0.0559466,0.301,0.4,0
0.0552178,0.304,0.4,0
0.0544927,0.307,0.4,0
0.0537725,0.31,0.4,0
0.0530581,0.313,0.4,0
0.0523506,0.316,0.4,0
0.0516508,0.319,0.4,0
0.0509594,0.322,0.4,0
0.0502772,0.325,0.4,0
0.049605,0.328,0.4,0
0.0489432,0.331,0.4,0
0.0482922,0.334,0.4,0
0.0476528,0.337,0.4,0
0.0470252,0.34,0.4,0
0.0464097,0.343,0.4,0
0.0458067,0.346,0.4,0
0.0452162,0.349,0.4,0
0.0446387,0.352,0.4,0
0.0440741,0.355,0.4,0
0.0435226,0.358,0.4,0
0.0429841,0.361,0.4,0
0.0424588,0.364,0.4,0
0.0419467,0.367,0.4,0
0.0414476,0.37,0.4,0
0.0409615,0.373,0.4,0
0.0404884,0.376,0.4,0
0.0400281,0.379,0.4,0
0.0395804,0.382,0.4,0
0.0391452,0.385,0.4,0
0.0387223,0.388,0.4,0
0.0383115,0.391,0.4,0
0.0379127,0.394,0.4,0
0.0375257,0.397,0.4,0
0.0371502,0.4,0.4,0
0.0367858,0.403,0.4,0
0.0364325,0.406,0.4,0
0.03609,0.409,0.4,0
0.0357581,0.412,0.4,0
0.0354364,0.415,0.4,0
0.0351247,0.418,0.4,0
0.0348229,0.421,0.4,0
0.0345306,0.424,0.4,0
0.0342475,0.427,0.4,0
0.0339734,0.43,0.4,0
0.0337081,0.433,0.4,0
0.0334513,0.436,0.4,0
0.0332026,0.439,0.4,0
0.0329621,0.442,0.4,0
0.0327292,0.445,0.4,0
0.0325039,0.448,0.4,0
0.0322859,0.451,0.4,0
0.0320749,0.454,0.4,0
0.0318706,0.457,0.4,0
0.031673,0.46,0.4,0
0.0314818,0.463,0.4,0
0.0312967,0.466,0.4,0
0.0311175,0.469,0.4,0
